lsoa_code,borough,major_category,minor_category,value,year,month
E01000100,Barking and Dagenham,Criminal Damage,Criminal Damage To Dwelling,1,2016,12
E01003868,Richmond upon Thames,Violence Against the Person,Assault with Injury,2,2016,5
E01004695,Westminster,Burglary,Burglary in Other Buildings,2,2016,2
E01003189,Lewisham,Violence Against the Person,Wounding/GBH,1,2016,9
E01003878,Richmond upon Thames,Theft and Handling,Other Theft Person,0,2016,10
E01000186,Barnet,Burglary,Burglary in Other Buildings,0,2016,7
E01001438,Enfield,Criminal Damage,Other Criminal Damage,0,2016,2
E01004006,Southwark,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,2
E01002777,Islington,Violence Against the Person,Assault with Injury,1,2016,10
E01003872,Richmond upon Thames,Violence Against the Person,Common Assault,0,2016,7
E01003784,Redbridge,Burglary,Burglary in Other Buildings,0,2016,1
E01001544,Enfield,Burglary,Burglary in Other Buildings,0,2016,7
E01002381,Havering,Burglary,Burglary in Other Buildings,1,2016,6
E01003574,Newham,Drugs,Drug Trafficking,0,2016,3
E01003090,Lambeth,Other Notifiable Offences,Other Notifiable,0,2016,3
E01000229,Barnet,Burglary,Burglary in Other Buildings,0,2016,9
E01002882,Kensington and Chelsea,Theft and Handling,Other Theft Person,4,2016,8
E01000806,Bromley,Drugs,Other Drugs,0,2016,9
E01003580,Newham,Violence Against the Person,Wounding/GBH,0,2016,4
E01001365,Ealing,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,4
E01001476,Enfield,Drugs,Possession Of Drugs,0,2016,12
E01000792,Bromley,Criminal Damage,Other Criminal Damage,0,2016,9
E01002602,Hounslow,Theft and Handling,Theft From Motor Vehicle,0,2016,10
E01004757,Westminster,Criminal Damage,Criminal Damage To Other Building,0,2016,7
E01003405,Merton,Drugs,Possession Of Drugs,1,2016,9
E01003655,Redbridge,Violence Against the Person,Harassment,1,2016,6
E01004047,Southwark,Criminal Damage,Criminal Damage To Dwelling,0,2016,4
E01003593,Newham,Drugs,Possession Of Drugs,0,2016,8
E01004146,Sutton,Burglary,Burglary in a Dwelling,0,2016,10
E01004255,Tower Hamlets,Violence Against the Person,Common Assault,1,2016,8
E01001608,Greenwich,Violence Against the Person,Harassment,1,2016,4
E01001306,Ealing,Burglary,Burglary in a Dwelling,1,2016,10
E01003467,Merton,Violence Against the Person,Other violence,0,2016,1
E01000479,Brent,Burglary,Burglary in Other Buildings,0,2016,12
E01002515,Hillingdon,Drugs,Drug Trafficking,1,2016,7
E01004597,Wandsworth,Theft and Handling,Theft From Motor Vehicle,2,2016,5
E01003167,Lambeth,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,1
E01003658,Redbridge,Violence Against the Person,Other violence,0,2016,6
E01003219,Lewisham,Violence Against the Person,Assault with Injury,0,2016,8
E01000201,Barnet,Violence Against the Person,Common Assault,0,2016,8
E01003746,Redbridge,Burglary,Burglary in a Dwelling,0,2016,7
E01003161,Lambeth,Theft and Handling,Theft From Motor Vehicle,0,2016,6
E01002850,Kensington and Chelsea,Theft and Handling,Theft From Motor Vehicle,1,2016,3
E01002198,Harrow,Violence Against the Person,Assault with Injury,0,2016,1
E01000801,Bromley,Burglary,Burglary in a Dwelling,0,2016,7
E01001272,Ealing,Theft and Handling,Handling Stolen Goods,0,2016,9
E01004076,Sutton,Violence Against the Person,Wounding/GBH,0,2016,12
E01002380,Havering,Theft and Handling,Other Theft,0,2016,10
E01004522,Wandsworth,Criminal Damage,Other Criminal Damage,0,2016,5
E01004710,Westminster,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,5
E01002371,Havering,Violence Against the Person,Assault with Injury,1,2016,7
E01033732,Greenwich,Criminal Damage,Criminal Damage To Dwelling,2,2016,1
E01001748,Hackney,Drugs,Possession Of Drugs,1,2016,3
E01002842,Kensington and Chelsea,Criminal Damage,Criminal Damage To Dwelling,0,2016,2
E01000895,Camden,Violence Against the Person,Offensive Weapon,0,2016,9
E01003320,Lewisham,Drugs,Possession Of Drugs,0,2016,6
E01002947,Kingston upon Thames,Violence Against the Person,Assault with Injury,0,2016,7
E01004392,Waltham Forest,Violence Against the Person,Assault with Injury,2,2016,5
E01003856,Richmond upon Thames,Violence Against the Person,Wounding/GBH,0,2016,11
E01000706,Bromley,Violence Against the Person,Harassment,0,2016,1
E01001516,Enfield,Robbery,Personal Property,0,2016,1
E01001676,Greenwich,Theft and Handling,Other Theft,0,2016,2
E01004206,Tower Hamlets,Theft and Handling,Handling Stolen Goods,0,2016,1
E01001723,Hackney,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,9
E01004531,Wandsworth,Theft and Handling,Other Theft Person,0,2016,4
E01001413,Enfield,Robbery,Personal Property,0,2016,9
E01003766,Redbridge,Violence Against the Person,Wounding/GBH,0,2016,11
E01001617,Greenwich,Criminal Damage,Criminal Damage To Motor Vehicle,2,2016,4
E01002760,Islington,Sexual Offences,Other Sexual,0,2016,8
E01000505,Brent,Fraud or Forgery,Other Fraud & Forgery,0,2016,6
E01003903,Richmond upon Thames,Criminal Damage,Other Criminal Damage,0,2016,2
E01001515,Enfield,Theft and Handling,Other Theft Person,0,2016,6
E01004295,Tower Hamlets,Theft and Handling,Other Theft,3,2016,3
E01001278,Ealing,Criminal Damage,Other Criminal Damage,0,2016,12
E01001815,Hackney,Drugs,Possession Of Drugs,1,2016,6
E01001407,Enfield,Robbery,Business Property,0,2016,10
E01003859,Richmond upon Thames,Theft and Handling,Theft From Motor Vehicle,1,2016,6
E01002146,Harrow,Criminal Damage,Other Criminal Damage,0,2016,5
E01003941,Southwark,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,2
E01001881,Hammersmith and Fulham,Drugs,Possession Of Drugs,0,2016,3
E01004293,Tower Hamlets,Criminal Damage,Other Criminal Damage,0,2016,12
E01001981,Haringey,Violence Against the Person,Common Assault,5,2016,12
E01002877,Kensington and Chelsea,Violence Against the Person,Harassment,0,2016,10
E01002741,Islington,Criminal Damage,Criminal Damage To Other Building,0,2016,8
E01002220,Harrow,Theft and Handling,Other Theft,1,2016,7
E01004662,Westminster,Theft and Handling,Theft From Motor Vehicle,0,2016,8
E01001003,Croydon,Drugs,Drug Trafficking,0,2016,5
E01002454,Hillingdon,Theft and Handling,Handling Stolen Goods,0,2016,3
E01003509,Newham,Violence Against the Person,Assault with Injury,0,2016,7
E01004552,Wandsworth,Sexual Offences,Other Sexual,0,2016,11
E01000231,Barnet,Fraud or Forgery,Counted per Victim,0,2016,2
E01000880,Camden,Violence Against the Person,Assault with Injury,0,2016,7
E01002951,Kingston upon Thames,Violence Against the Person,Assault with Injury,0,2016,1
E01001573,Greenwich,Theft and Handling,Other Theft Person,0,2016,1
E01003359,Merton,Theft and Handling,Other Theft Person,0,2016,4
E01001083,Croydon,Theft and Handling,Other Theft Person,0,2016,6
E01003146,Lambeth,Theft and Handling,Theft From Shops,0,2016,5
E01004605,Wandsworth,Violence Against the Person,Wounding/GBH,0,2016,5
E01001301,Ealing,Violence Against the Person,Common Assault,1,2016,11
E01002345,Havering,Criminal Damage,Other Criminal Damage,1,2016,1
E01002411,Hillingdon,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,6
E01002540,Hillingdon,Robbery,Personal Property,0,2016,2
E01002713,Islington,Burglary,Burglary in a Dwelling,0,2016,12
E01000603,Brent,Violence Against the Person,Assault with Injury,1,2016,12
E01001579,Greenwich,Theft and Handling,Other Theft,0,2016,10
E01001070,Croydon,Drugs,Possession Of Drugs,0,2016,6
E01000959,Camden,Violence Against the Person,Common Assault,2,2016,6
E01002354,Havering,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,2
E01002011,Haringey,Criminal Damage,Other Criminal Damage,3,2016,11
E01002543,Hillingdon,Other Notifiable Offences,Other Notifiable,1,2016,4
E01003331,Lewisham,Fraud or Forgery,Other Fraud & Forgery,0,2016,2
E01000930,Camden,Violence Against the Person,Harassment,1,2016,1
E01004435,Waltham Forest,Fraud or Forgery,Other Fraud & Forgery,0,2016,8
E01000516,Brent,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,2
E01002920,Kingston upon Thames,Violence Against the Person,Assault with Injury,0,2016,12
E01001306,Ealing,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,6
E01002837,Kensington and Chelsea,Other Notifiable Offences,Other Notifiable,0,2016,9
E01004457,Waltham Forest,Theft and Handling,Other Theft,0,2016,3
E01002294,Havering,Theft and Handling,Handling Stolen Goods,0,2016,6
E01004610,Wandsworth,Robbery,Personal Property,0,2016,2
E01002872,Kensington and Chelsea,Violence Against the Person,Offensive Weapon,0,2016,2
E01002588,Hounslow,Robbery,Personal Property,0,2016,11
E01000840,Bromley,Criminal Damage,Criminal Damage To Dwelling,0,2016,5
E01003592,Newham,Violence Against the Person,Wounding/GBH,0,2016,4
E01001295,Ealing,Violence Against the Person,Other violence,0,2016,10
E01002526,Hillingdon,Theft and Handling,Handling Stolen Goods,0,2016,10
E01004331,Waltham Forest,Theft and Handling,Other Theft Person,0,2016,12
E01004629,Wandsworth,Theft and Handling,Other Theft,0,2016,2
E01003125,Lambeth,Theft and Handling,Handling Stolen Goods,0,2016,4
E01000901,Camden,Violence Against the Person,Common Assault,1,2016,8
E01000766,Bromley,Theft and Handling,Other Theft,0,2016,6
E01003875,Richmond upon Thames,Criminal Damage,Criminal Damage To Other Building,0,2016,3
E01003009,Kingston upon Thames,Violence Against the Person,Common Assault,1,2016,12
E01003845,Richmond upon Thames,Violence Against the Person,Assault with Injury,1,2016,8
E01001782,Hackney,Theft and Handling,Theft From Shops,2,2016,4
E01004166,Sutton,Criminal Damage,Criminal Damage To Other Building,0,2016,5
E01002686,Hounslow,Criminal Damage,Criminal Damage To Motor Vehicle,1,2016,2
E01033000,Hounslow,Criminal Damage,Criminal Damage To Dwelling,1,2016,4
E01000918,Camden,Theft and Handling,Handling Stolen Goods,0,2016,9
E01004055,Southwark,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,9
E01000512,Brent,Theft and Handling,Other Theft Person,0,2016,8
E01001268,Ealing,Theft and Handling,Other Theft Person,0,2016,4
E01000386,Bexley,Theft and Handling,Theft From Motor Vehicle,1,2016,12
E01002487,Hillingdon,Violence Against the Person,Other violence,0,2016,12
E01000791,Bromley,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,2
E01001502,Enfield,Fraud or Forgery,Other Fraud & Forgery,0,2016,5
E01001994,Haringey,Criminal Damage,Other Criminal Damage,0,2016,5
E01003497,Newham,Violence Against the Person,Assault with Injury,0,2016,12
E01000782,Bromley,Theft and Handling,Theft From Shops,0,2016,4
E01002930,Kingston upon Thames,Criminal Damage,Criminal Damage To Other Building,0,2016,5
E01004287,Tower Hamlets,Violence Against the Person,Other violence,0,2016,10
E01004332,Waltham Forest,Theft and Handling,Handling Stolen Goods,0,2016,5
E01000638,Brent,Violence Against the Person,Harassment,1,2016,8
E01002777,Islington,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,8
E01001196,Ealing,Theft and Handling,Theft From Motor Vehicle,1,2016,2
E01033704,Hackney,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,5
E01004313,Tower Hamlets,Theft and Handling,Theft/Taking of Pedal Cycle,2,2016,2
E01033708,Hackney,Drugs,Other Drugs,0,2016,11
E01001602,Greenwich,Theft and Handling,Handling Stolen Goods,0,2016,2
E01000939,Camden,Theft and Handling,Theft From Motor Vehicle,1,2016,9
E01002754,Islington,Violence Against the Person,Offensive Weapon,0,2016,11
E01000370,Bexley,Violence Against the Person,Other violence,0,2016,5
E01003573,Newham,Theft and Handling,Other Theft,2,2016,6
E01003845,Richmond upon Thames,Theft and Handling,Motor Vehicle Interference & Tampering,1,2016,2
E01004541,Wandsworth,Other Notifiable Offences,Other Notifiable,0,2016,11
E01002582,Hounslow,Burglary,Burglary in Other Buildings,1,2016,1
E01004198,Tower Hamlets,Theft and Handling,Other Theft,1,2016,1
E01002292,Havering,Theft and Handling,Theft From Motor Vehicle,0,2016,9
E01003228,Lewisham,Violence Against the Person,Common Assault,0,2016,1
E01004604,Wandsworth,Drugs,Possession Of Drugs,0,2016,11
E01003750,Redbridge,Burglary,Burglary in a Dwelling,0,2016,9
E01002633,Hounslow,Drugs,Other Drugs,0,2016,3
E01002526,Hillingdon,Theft and Handling,Theft From Motor Vehicle,1,2016,12
E01033725,Hillingdon,Violence Against the Person,Harassment,2,2016,2
E01002419,Hillingdon,Theft and Handling,Other Theft,1,2016,1
E01000735,Bromley,Theft and Handling,Handling Stolen Goods,0,2016,9
E01002456,Hillingdon,Violence Against the Person,Assault with Injury,0,2016,8
E01004527,Wandsworth,Robbery,Personal Property,0,2016,12
E01000927,Camden,Theft and Handling,Handling Stolen Goods,1,2016,6
E01003559,Newham,Other Notifiable Offences,Other Notifiable,2,2016,8
E01001511,Enfield,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2016,7
E01004566,Wandsworth,Drugs,Possession Of Drugs,0,2016,12
E01001502,Enfield,Criminal Damage,Criminal Damage To Dwelling,1,2016,1
E01000014,Barking and Dagenham,Theft and Handling,Other Theft Person,0,2016,2
E01001465,Enfield,Violence Against the Person,Common Assault,1,2016,6
E01002529,Hillingdon,Theft and Handling,Other Theft Person,1,2016,7
E01003028,Lambeth,Other Notifiable Offences,Other Notifiable,0,2016,6
E01002528,Hillingdon,Violence Against the Person,Other violence,0,2016,3
E01000313,Barnet,Drugs,Drug Trafficking,0,2016,5
E01003967,Southwark,Burglary,Burglary in a Dwelling,1,2016,2
E01001863,Hammersmith and Fulham,Theft and Handling,Theft From Shops,0,2016,9
E01001822,Hackney,Robbery,Business Property,0,2016,7
E01002291,Havering,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,10
E01002876,Kensington and Chelsea,Robbery,Personal Property,0,2016,11
E01002543,Hillingdon,Violence Against the Person,Common Assault,5,2016,8
E01002997,Kingston upon Thames,Burglary,Burglary in Other Buildings,1,2016,9
E01000777,Bromley,Robbery,Business Property,0,2016,11
E01002829,Kensington and Chelsea,Criminal Damage,Criminal Damage To Dwelling,1,2016,8
E01004192,Sutton,Theft and Handling,Other Theft,0,2016,10
E01001751,Hackney,Violence Against the Person,Harassment,0,2016,11
E01001474,Enfield,Violence Against the Person,Offensive Weapon,0,2016,8
E01003480,Newham,Criminal Damage,Other Criminal Damage,0,2016,10
E01001909,Hammersmith and Fulham,Other Notifiable Offences,Other Notifiable,1,2016,1
E01004119,Sutton,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2016,12
E01001087,Croydon,Drugs,Possession Of Drugs,1,2016,11
E01003701,Redbridge,Burglary,Burglary in a Dwelling,1,2016,7
E01002943,Kingston upon Thames,Theft and Handling,Other Theft Person,0,2016,10
E01003215,Lewisham,Violence Against the Person,Harassment,1,2016,1
E01000644,Brent,Robbery,Personal Property,0,2016,1
E01003926,Southwark,Violence Against the Person,Offensive Weapon,1,2016,10
E01000887,Camden,Other Notifiable Offences,Other Notifiable,0,2016,10
E01000979,Croydon,Robbery,Personal Property,0,2016,9
E01001313,Ealing,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,11
E01001930,Hammersmith and Fulham,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,7
E01002680,Hounslow,Drugs,Possession Of Drugs,1,2016,7
E01002119,Harrow,Violence Against the Person,Harassment,2,2016,1
E01003575,Newham,Criminal Damage,Criminal Damage To Other Building,0,2016,10
E01001269,Ealing,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,3
E01001660,Greenwich,Violence Against the Person,Assault with Injury,2,2016,3
E01003442,Merton,Violence Against the Person,Wounding/GBH,0,2016,12
E01000219,Barnet,Violence Against the Person,Wounding/GBH,0,2016,1
E01001324,Ealing,Other Notifiable Offences,Going Equipped,0,2016,6
E01001413,Enfield,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,10
E01002269,Havering,Criminal Damage,Criminal Damage To Other Building,0,2016,11
E01002499,Hillingdon,Fraud or Forgery,Counted per Victim,0,2016,10
E01002798,Islington,Violence Against the Person,Offensive Weapon,1,2016,10
E01001498,Enfield,Theft and Handling,Theft From Shops,8,2016,9
E01033133,Wandsworth,Burglary,Burglary in Other Buildings,1,2016,5
E01004434,Waltham Forest,Robbery,Business Property,0,2016,11
E01033597,Westminster,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,12
E01003130,Lambeth,Robbery,Business Property,0,2016,1
E01003573,Newham,Other Notifiable Offences,Going Equipped,0,2016,8
E01001918,Hammersmith and Fulham,Drugs,Possession Of Drugs,2,2016,10
E01003558,Newham,Drugs,Drug Trafficking,0,2016,12
E01002044,Haringey,Violence Against the Person,Common Assault,1,2016,2
E01004511,Wandsworth,Fraud or Forgery,Counted per Victim,0,2016,2
E01000726,Bromley,Theft and Handling,Theft From Motor Vehicle,0,2016,11
E01003088,Lambeth,Other Notifiable Offences,Other Notifiable,0,2016,7
E01004084,Sutton,Theft and Handling,Theft From Shops,0,2016,9
E01000070,Barking and Dagenham,Violence Against the Person,Harassment,1,2016,7
E01000477,Brent,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,10
E01004632,Wandsworth,Criminal Damage,Criminal Damage To Other Building,0,2016,5
E01000724,Bromley,Drugs,Possession Of Drugs,0,2016,5
E01001700,Greenwich,Criminal Damage,Other Criminal Damage,0,2016,4
E01002748,Islington,Drugs,Possession Of Drugs,4,2016,7
E01000077,Barking and Dagenham,Criminal Damage,Criminal Damage To Dwelling,0,2016,9
E01000637,Brent,Criminal Damage,Criminal Damage To Dwelling,1,2016,12
E01002366,Havering,Theft and Handling,Theft From Shops,0,2016,2
E01000706,Bromley,Fraud or Forgery,Other Fraud & Forgery,0,2016,3
E01001467,Enfield,Criminal Damage,Criminal Damage To Dwelling,1,2016,11
E01002490,Hillingdon,Burglary,Burglary in a Dwelling,1,2016,7
E01003783,Redbridge,Sexual Offences,Other Sexual,0,2016,8
E01002799,Islington,Violence Against the Person,Assault with Injury,0,2016,1
E01001881,Hammersmith and Fulham,Other Notifiable Offences,Going Equipped,0,2016,3
E01000728,Bromley,Other Notifiable Offences,Other Notifiable,1,2016,11
E01002737,Islington,Theft and Handling,Theft From Motor Vehicle,1,2016,11
E01003239,Lewisham,Violence Against the Person,Common Assault,0,2016,8
E01000403,Bexley,Other Notifiable Offences,Other Notifiable,0,2016,8
E01000544,Brent,Sexual Offences,Rape,0,2016,2
E01001658,Greenwich,Robbery,Business Property,0,2016,7
E01000952,Camden,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,6
E01000973,Camden,Theft and Handling,Other Theft Person,1,2016,1
E01001967,Haringey,Drugs,Possession Of Drugs,0,2016,8
E01002453,Hillingdon,Criminal Damage,Other Criminal Damage,0,2016,9
E01004107,Sutton,Theft and Handling,Handling Stolen Goods,0,2016,10
E01004354,Waltham Forest,Other Notifiable Offences,Other Notifiable,1,2016,12
E01003911,Southwark,Theft and Handling,Other Theft,0,2016,8
E01004568,Wandsworth,Criminal Damage,Criminal Damage To Other Building,0,2016,9
E01003820,Richmond upon Thames,Burglary,Burglary in Other Buildings,0,2016,12
E01000677,Bromley,Other Notifiable Offences,Going Equipped,0,2016,10
E01001396,Enfield,Violence Against the Person,Common Assault,1,2016,4
E01000646,Bromley,Criminal Damage,Criminal Damage To Other Building,0,2016,12
E01000389,Bexley,Theft and Handling,Theft From Motor Vehicle,0,2016,7
E01003683,Redbridge,Theft and Handling,Theft From Motor Vehicle,1,2016,6
E01004712,Westminster,Theft and Handling,Other Theft,6,2016,9
E01003712,Redbridge,Robbery,Personal Property,0,2016,11
E01001253,Ealing,Theft and Handling,Other Theft,1,2016,6
E01003585,Newham,Theft and Handling,Other Theft Person,0,2016,12
E01000581,Brent,Other Notifiable Offences,Going Equipped,0,2016,7
E01003339,Lewisham,Theft and Handling,Theft From Motor Vehicle,0,2016,1
E01000062,Barking and Dagenham,Other Notifiable Offences,Other Notifiable,1,2016,4
E01001246,Ealing,Burglary,Burglary in Other Buildings,6,2016,9
E01004694,Westminster,Burglary,Burglary in a Dwelling,0,2016,4
E01004222,Tower Hamlets,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,10
E01003566,Newham,Robbery,Personal Property,0,2016,4
E01003652,Redbridge,Violence Against the Person,Wounding/GBH,0,2016,2
E01002554,Hillingdon,Burglary,Burglary in Other Buildings,2,2016,2
E01003835,Richmond upon Thames,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,2
E01002880,Kensington and Chelsea,Violence Against the Person,Offensive Weapon,1,2016,1
E01003828,Richmond upon Thames,Theft and Handling,Theft From Motor Vehicle,0,2016,9
E01003947,Southwark,Criminal Damage,Other Criminal Damage,0,2016,4
E01002268,Havering,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,11
E01002310,Havering,Theft and Handling,Motor Vehicle Interference & Tampering,1,2016,5
E01033487,Islington,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,10
E01001857,Hammersmith and Fulham,Violence Against the Person,Harassment,2,2016,10
E01003345,Lewisham,Robbery,Business Property,0,2016,6
E01001962,Haringey,Theft and Handling,Other Theft,1,2016,6
E01003756,Redbridge,Burglary,Burglary in Other Buildings,0,2016,6
E01000754,Bromley,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,12
E01003701,Redbridge,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,7
E01003310,Lewisham,Violence Against the Person,Common Assault,0,2016,4
E01001148,Croydon,Criminal Damage,Other Criminal Damage,0,2016,10
E01003001,Kingston upon Thames,Theft and Handling,Theft From Motor Vehicle,0,2016,1
E01003344,Lewisham,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,3
E01003581,Newham,Violence Against the Person,Assault with Injury,0,2016,8
E01002633,Hounslow,Theft and Handling,Other Theft,1,2016,9
E01003999,Southwark,Violence Against the Person,Murder,0,2016,5
E01003591,Newham,Burglary,Burglary in Other Buildings,0,2016,5
E01003283,Lewisham,Violence Against the Person,Wounding/GBH,0,2016,8
E01003309,Lewisham,Violence Against the Person,Offensive Weapon,0,2016,4
E01000944,Camden,Theft and Handling,Other Theft Person,0,2016,2
E01004750,Westminster,Burglary,Burglary in a Dwelling,0,2016,5
E01003787,Redbridge,Violence Against the Person,Wounding/GBH,1,2016,3
E01003860,Richmond upon Thames,Theft and Handling,Theft From Shops,1,2016,11
E01002672,Hounslow,Theft and Handling,Handling Stolen Goods,0,2016,2
E01000548,Brent,Violence Against the Person,Other violence,0,2016,12
E01001964,Haringey,Robbery,Personal Property,0,2016,10
E01004440,Waltham Forest,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,10
E01003573,Newham,Violence Against the Person,Harassment,4,2016,12
E01001344,Ealing,Criminal Damage,Criminal Damage To Dwelling,0,2016,1
E01001824,Hackney,Violence Against the Person,Wounding/GBH,2,2016,10
E01004092,Sutton,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,1
E01033736,Greenwich,Burglary,Burglary in Other Buildings,1,2016,5
E01002775,Islington,Theft and Handling,Theft From Shops,0,2016,9
E01002493,Hillingdon,Criminal Damage,Other Criminal Damage,0,2016,12
E01001453,Enfield,Robbery,Personal Property,0,2016,3
E01000055,Barking and Dagenham,Drugs,Possession Of Drugs,0,2016,2
E01033324,Lewisham,Criminal Damage,Criminal Damage To Other Building,0,2016,10
E01001187,Croydon,Violence Against the Person,Wounding/GBH,0,2016,1
E01000618,Brent,Theft and Handling,Other Theft,0,2016,11
E01004488,Wandsworth,Theft and Handling,Other Theft Person,0,2016,4
E01000381,Bexley,Burglary,Burglary in Other Buildings,1,2016,8
E01001655,Greenwich,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,10
E01000441,Bexley,Fraud or Forgery,Counted per Victim,0,2016,11
E01003579,Newham,Other Notifiable Offences,Other Notifiable,0,2016,1
E01000926,Camden,Criminal Damage,Other Criminal Damage,0,2016,9
E01004586,Wandsworth,Theft and Handling,Other Theft,1,2016,6
E01003861,Richmond upon Thames,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,5
E01002382,Havering,Robbery,Personal Property,1,2016,2
E01000005,City of London,Theft and Handling,Other Theft Person,0,2016,12
E01000715,Bromley,Violence Against the Person,Harassment,0,2016,9
E01000854,Camden,Criminal Damage,Criminal Damage To Dwelling,0,2016,12
E01000852,Camden,Theft and Handling,Handling Stolen Goods,0,2016,7
E01004753,Westminster,Theft and Handling,Theft From Motor Vehicle,1,2016,12
E01004598,Wandsworth,Criminal Damage,Criminal Damage To Other Building,0,2016,3
E01004612,Wandsworth,Criminal Damage,Criminal Damage To Motor Vehicle,1,2016,11
E01000921,Camden,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,10
E01003394,Merton,Violence Against the Person,Wounding/GBH,0,2016,3
E01004570,Wandsworth,Violence Against the Person,Other violence,0,2016,4
E01003550,Newham,Burglary,Burglary in Other Buildings,1,2016,9
E01033568,Kingston upon Thames,Other Notifiable Offences,Other Notifiable,0,2016,1
E01001090,Croydon,Violence Against the Person,Harassment,0,2016,10
E01003377,Merton,Violence Against the Person,Common Assault,1,2016,10
E01004171,Sutton,Theft and Handling,Theft From Motor Vehicle,0,2016,10
E01002225,Harrow,Burglary,Burglary in a Dwelling,1,2016,2
E01004304,Tower Hamlets,Theft and Handling,Other Theft,5,2016,3
E01001435,Enfield,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,9
E01001948,Hammersmith and Fulham,Drugs,Drug Trafficking,0,2016,12
E01001592,Greenwich,Burglary,Burglary in a Dwelling,0,2016,5
E01002955,Kingston upon Thames,Robbery,Business Property,0,2016,8
E01000346,Bexley,Theft and Handling,Theft From Motor Vehicle,0,2016,12
E01003563,Newham,Violence Against the Person,Assault with Injury,2,2016,10
E01003353,Lewisham,Robbery,Personal Property,0,2016,8
E01004468,Waltham Forest,Burglary,Burglary in Other Buildings,0,2016,10
E01001988,Haringey,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,6
E01000061,Barking and Dagenham,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,4
E01002969,Kingston upon Thames,Theft and Handling,Theft From Motor Vehicle,0,2016,9
E01001648,Greenwich,Violence Against the Person,Wounding/GBH,1,2016,3
E01001869,Hammersmith and Fulham,Burglary,Burglary in Other Buildings,0,2016,8
E01000172,Barnet,Violence Against the Person,Offensive Weapon,0,2016,8
E01003857,Richmond upon Thames,Robbery,Personal Property,0,2016,11
E01000111,Barking and Dagenham,Criminal Damage,Criminal Damage To Other Building,0,2016,11
E01004335,Waltham Forest,Violence Against the Person,Other violence,1,2016,12
E01002677,Hounslow,Criminal Damage,Criminal Damage To Other Building,0,2016,12
E01000270,Barnet,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,3
E01003116,Lambeth,Violence Against the Person,Other violence,0,2016,2
E01002992,Kingston upon Thames,Theft and Handling,Other Theft,0,2016,2
E01000189,Barnet,Violence Against the Person,Offensive Weapon,0,2016,3
E01004761,Westminster,Theft and Handling,Theft/Taking of Pedal Cycle,2,2016,8
E01001254,Ealing,Robbery,Personal Property,0,2016,11
E01001384,Ealing,Other Notifiable Offences,Going Equipped,0,2016,5
E01002055,Haringey,Violence Against the Person,Other violence,0,2016,3
E01001447,Enfield,Drugs,Possession Of Drugs,1,2016,10
E01004240,Tower Hamlets,Other Notifiable Offences,Going Equipped,0,2016,3
E01003828,Richmond upon Thames,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,3
E01000584,Brent,Burglary,Burglary in a Dwelling,3,2016,9
E01002132,Harrow,Theft and Handling,Other Theft,2,2016,7
E01002605,Hounslow,Other Notifiable Offences,Other Notifiable,0,2016,11
E01003576,Newham,Theft and Handling,Theft From Motor Vehicle,1,2016,2
